genome1	genome2	chr1	chr2	blkID	startBp1	endBp1	startOrd1	endOrd1	firstGene1	lastGene1	nHits1	minBp2	maxBp2	minOrd2	maxOrd2	minGene2	maxGene2	nHits2	orient	startBp2	endBp2	startOrd2	endOrd2	firstGene2	lastGene2
Dhello	Dxau	dh2	dx6	Dxau_vs_Dhello: 160	207067619	230497705	10213	10610	1_11454	1_11851	172	69024855	94717530	22776	23150	3_1244	3_1618	172	+	69024855	94717530	22776	23150	3_1244	3_1618
Dhello	Dxau	dh2	dx6	Dxau_vs_Dhello: 161	230790741	267050849	10617	11406	1_11858	1_12647	367	94792879	131127641	23153	23818	3_1621	3_2286	367	+	94792879	131127641	23153	23818	3_1621	3_2286
Dhello	Dxau	dh2	dx6	Dxau_vs_Dhello: 162	267632021	271663898	11418	11487	1_12659	1_12728	38	131435259	135349678	23828	23904	3_2296	3_2372	38	+	131435259	135349678	23828	23904	3_2296	3_2372
Dhello	Dxau	dh2	dx6	Dxau_vs_Dhello: 168	273359724	278439543	11518	11607	1_12759	1_12848	47	136783654	142162089	23940	24037	3_2408	3_2505	47	+	136783654	142162089	23940	24037	3_2408	3_2505
Dhello	Dxau	dh2	dx6	Dxau_vs_Dhello: 169	278783773	279324733	11610	11623	1_12851	1_12864	9	142634841	143429309	24049	24065	3_2517	3_2533	9	+	142634841	143429309	24049	24065	3_2517	3_2533
Dhello	Dxau	dh2	dx6	Dxau_vs_Dhello: 171	280037029	281147320	11636	11646	1_12877	1_12887	8	144269648	145587887	24073	24086	3_2541	3_2554	8	+	144269648	145587887	24073	24086	3_2541	3_2554
Dhello	Dxau	dh2	dx6	Dxau_vs_Dhello: 173	283057086	284707084	11663	11709	1_12904	1_12950	16	147240946	148837602	24105	24136	3_2573	3_2604	16	+	147240946	148837602	24105	24136	3_2573	3_2604
Dhello	Dxau	dh2	dx6	Dxau_vs_Dhello: 175	285910748	290349763	11733	11812	1_12974	1_13053	54	150183887	155087978	24154	24236	3_2622	3_2704	54	+	150183887	155087978	24154	24236	3_2622	3_2704
Dhello	Dxau	dh2	dx6	Dxau_vs_Dhello: 177	290694706	294000651	11834	11903	1_13075	1_13144	38	155477449	158181868	24251	24301	3_2719	3_2769	38	+	155477449	158181868	24251	24301	3_2719	3_2769
Dhello	Dxau	dh2	dx6	Dxau_vs_Dhello: 181	294662434	302963408	11924	12088	1_13165	1_13329	95	158757779	167289030	24314	24482	3_2782	3_2950	95	+	158757779	167289030	24314	24482	3_2782	3_2950
Dhello	Dxau	dh2	dx6	Dxau_vs_Dhello: 183	307128831	310940127	12168	12232	1_13409	1_13473	18	171923891	175804516	24572	24626	3_3040	3_3094	18	+	171923891	175804516	24572	24626	3_3040	3_3094
Dhello	Dxau	dh2	dx7	Dxau_vs_Dhello: 102	60029421	61103566	7273	7299	1_8514	1_8540	11	67267289	68476714	25798	25821	3_8211	3_8234	11	+	67267289	68476714	25798	25821	3_8211	3_8234
Dhello	Dxau	dh2	dx7	Dxau_vs_Dhello: 106	61824627	65601523	7319	7406	1_8560	1_8647	40	69060994	72808616	25838	25924	3_8251	3_8337	40	+	69060994	72808616	25838	25924	3_8251	3_8337
Dhello	Dxau	dh2	dx7	Dxau_vs_Dhello: 108	66599233	69238489	7430	7472	1_8671	1_8713	17	73822368	76147669	25949	25983	3_8362	3_8396	17	+	73822368	76147669	25949	25983	3_8362	3_8396
Dhello	Dxau	dh2	dx7	Dxau_vs_Dhello: 109	69276385	69425938	7474	7478	1_8715	1_8719	5	76577334	76711750	25995	26002	3_8408	3_8415	5	+	76577334	76711750	25995	26002	3_8408	3_8415
Dhello	Dxau	dh2	dx7	Dxau_vs_Dhello: 110	70083144	71994497	7488	7523	1_8729	1_8764	19	77007234	80682675	26005	26056	3_8418	3_8469	19	+	77007234	80682675	26005	26056	3_8418	3_8469
Dhello	Dxau	dh2	dx7	Dxau_vs_Dhello: 118	79616399	80071982	7679	7686	1_8920	1_8927	7	146955992	147341539	27281	27295	3_9694	3_9708	7	+	146955992	147341539	27281	27295	3_9694	3_9708
Dhello	Dxau	dh2	dx7	Dxau_vs_Dhello: 120	85376824	86898629	7798	7821	1_9039	1_9062	15	140207714	142220000	27149	27182	3_9562	3_9595	15	+	140207714	142220000	27149	27182	3_9562	3_9595
Dhello	Dxau	dh2	dx7	Dxau_vs_Dhello: 125	106147363	107366491	8226	8257	1_9467	1_9498	14	121093062	122196214	26776	26803	3_9189	3_9216	14	+	121093062	122196214	26776	26803	3_9189	3_9216
Dhello	Dxau	dh2	dx7	Dxau_vs_Dhello: 127	109892369	110731187	8301	8329	1_9542	1_9570	16	117615740	118830382	26700	26734	3_9113	3_9147	16	+	117615740	118830382	26700	26734	3_9113	3_9147
Dhello	Dxau	dh2	dx7	Dxau_vs_Dhello: 129	115373504	116051664	8425	8437	1_9666	1_9678	8	111612778	112304078	26578	26589	3_8991	3_9002	8	+	111612778	112304078	26578	26589	3_8991	3_9002
Dhello	Dxau	dh2	dx7	Dxau_vs_Dhello: 131	117504755	119028890	8477	8498	1_9718	1_9739	18	108518043	109825019	26509	26535	3_8922	3_8948	18	+	108518043	109825019	26509	26535	3_8922	3_8948
Dhello	Dxau	dh2	dx7	Dxau_vs_Dhello: 134	139015336	140048665	8838	8872	1_10079	1_10113	15	84856951	85624470	26132	26157	3_8545	3_8570	15	+	84856951	85624470	26132	26157	3_8545	3_8570
Dhello	Dxau	dh2	dx7	Dxau_vs_Dhello: 138	141274041	141941390	8896	8908	1_10137	1_10149	9	82611119	83285860	26089	26101	3_8502	3_8514	9	+	82611119	83285860	26089	26101	3_8502	3_8514
Dhello	Dxau	dh2	dx7	Dxau_vs_Dhello: 84	1596952	12479562	6236	6424	1_7477	1_7665	73	1823116	14399909	24660	24853	3_7073	3_7266	73	+	1823116	14399909	24660	24853	3_7073	3_7266
Dhello	Dxau	dh2	dx7	Dxau_vs_Dhello: 86	13647157	13961228	6445	6458	1_7686	1_7699	9	15143298	15403256	24861	24874	3_7274	3_7287	9	+	15143298	15403256	24861	24874	3_7274	3_7287
Dhello	Dxau	dh2	dx7	Dxau_vs_Dhello: 87	15846999	20978814	6483	6592	1_7724	1_7833	41	18051846	26574992	24918	25065	3_7331	3_7478	41	+	18051846	26574992	24918	25065	3_7331	3_7478
Dhello	Dxau	dh2	dx7	Dxau_vs_Dhello: 89	21441058	26255469	6601	6690	1_7842	1_7931	26	27075199	31893570	25074	25153	3_7487	3_7566	26	+	27075199	31893570	25074	25153	3_7487	3_7566
Dhello	Dxau	dh2	dx7	Dxau_vs_Dhello: 92	29142029	32107251	6747	6798	1_7988	1_8039	30	34597261	38562420	25202	25279	3_7615	3_7692	30	+	34597261	38562420	25202	25279	3_7615	3_7692
Dhello	Dxau	dh2	dx7	Dxau_vs_Dhello: 94	35799179	37149260	6848	6868	1_8089	1_8109	10	42480423	43963857	25356	25380	3_7769	3_7793	10	+	42480423	43963857	25356	25380	3_7769	3_7793
Dhello	Dxau	dh2	dx7	Dxau_vs_Dhello: 95	37636267	41368027	6877	6942	1_8118	1_8183	28	44467954	47754090	25388	25435	3_7801	3_7848	28	+	44467954	47754090	25388	25435	3_7801	3_7848
Dhello	Dxau	dh2	dx7	Dxau_vs_Dhello: 97	43134451	44596719	6975	7000	1_8216	1_8241	14	49606878	51017002	25468	25488	3_7881	3_7901	14	+	49606878	51017002	25468	25488	3_7881	3_7901
Dhello	Dxau	dh2	dx7	Dxau_vs_Dhello: 99	45338581	57811327	7011	7237	1_8252	1_8478	113	51713243	64649555	25504	25751	3_7917	3_8164	113	+	51713243	64649555	25504	25751	3_7917	3_8164
Dhello	Dxau	dh2	dx8	Dxau_vs_Dhello: 141	144259541	146978276	8943	8995	1_10184	1_10236	17	142266606	144091834	30004	30047	3_12417	3_12460	17	+	142266606	144091834	30004	30047	3_12417	3_12460
Dhello	Dxau	dh2	dx8	Dxau_vs_Dhello: 144	155976723	156490334	9179	9193	1_10420	1_10434	5	132349949	133041518	29824	29837	3_12237	3_12250	5	+	132349949	133041518	29824	29837	3_12237	3_12250
Dhello	Dxau	dh2	dx8	Dxau_vs_Dhello: 146	157371724	158887507	9206	9248	1_10447	1_10489	18	129779570	131705990	29772	29808	3_12185	3_12221	18	+	129779570	131705990	29772	29808	3_12185	3_12221
Dhello	Dxau	dh2	dx8	Dxau_vs_Dhello: 149	162550234	163616112	9328	9347	1_10569	1_10588	11	125707155	126593092	29690	29706	3_12103	3_12119	11	+	125707155	126593092	29690	29706	3_12103	3_12119
Dhello	Dxau	dh2	dx8	Dxau_vs_Dhello: 151	169731337	170450560	9464	9484	1_10705	1_10725	13	118272287	118990548	29565	29583	3_11978	3_11996	13	+	118272287	118990548	29565	29583	3_11978	3_11996
Dhello	Dxau	dh2	dx8	Dxau_vs_Dhello: 153	174330091	175554049	9551	9576	1_10792	1_10817	10	111865328	113409210	29468	29492	3_11881	3_11905	10	+	111865328	113409210	29468	29492	3_11881	3_11905
Dhello	Dxau	dh2	dx8	Dxau_vs_Dhello: 156	202797262	203760643	10144	10162	1_11385	1_11403	14	81645501	82668136	28937	28957	3_11350	3_11370	14	+	81645501	82668136	28937	28957	3_11350	3_11370
Dxau	Dhello	dx6	dh2	Dxau_vs_Dhello: 160	69024855	94717530	22776	23150	3_1244	3_1618	172	207067619	230497705	10213	10610	1_11454	1_11851	172	+	207067619	230497705	10213	10610	1_11454	1_11851
Dxau	Dhello	dx6	dh2	Dxau_vs_Dhello: 161	94792879	131127641	23153	23818	3_1621	3_2286	367	230790741	267050849	10617	11406	1_11858	1_12647	367	+	230790741	267050849	10617	11406	1_11858	1_12647
Dxau	Dhello	dx6	dh2	Dxau_vs_Dhello: 162	131435259	135349678	23828	23904	3_2296	3_2372	38	267632021	271663898	11418	11487	1_12659	1_12728	38	+	267632021	271663898	11418	11487	1_12659	1_12728
Dxau	Dhello	dx6	dh2	Dxau_vs_Dhello: 168	136783654	142162089	23940	24037	3_2408	3_2505	47	273359724	278439543	11518	11607	1_12759	1_12848	47	+	273359724	278439543	11518	11607	1_12759	1_12848
Dxau	Dhello	dx6	dh2	Dxau_vs_Dhello: 169	142634841	143429309	24049	24065	3_2517	3_2533	9	278783773	279324733	11610	11623	1_12851	1_12864	9	+	278783773	279324733	11610	11623	1_12851	1_12864
Dxau	Dhello	dx6	dh2	Dxau_vs_Dhello: 171	144269648	145587887	24073	24086	3_2541	3_2554	8	280037029	281147320	11636	11646	1_12877	1_12887	8	+	280037029	281147320	11636	11646	1_12877	1_12887
Dxau	Dhello	dx6	dh2	Dxau_vs_Dhello: 173	147240946	148837602	24105	24136	3_2573	3_2604	16	283057086	284707084	11663	11709	1_12904	1_12950	16	+	283057086	284707084	11663	11709	1_12904	1_12950
Dxau	Dhello	dx6	dh2	Dxau_vs_Dhello: 175	150183887	155087978	24154	24236	3_2622	3_2704	54	285910748	290349763	11733	11812	1_12974	1_13053	54	+	285910748	290349763	11733	11812	1_12974	1_13053
